Measurement: I_leakage
  step	MIN(i(V1))	FROM	TO
   480	-2.4191e-06	-0.566	0.566
   481	-6.53506e-06	-0.566	0.566
   482	-3.35173e-06	-0.566	0.566
   483	-5.6811e-06	-0.566	0.566
   484	-2.84056e-06	-0.566	0.566
   485	-4.46508e-06	-0.566	0.566
   486	-2.58465e-06	-0.566	0.566
   487	-3.80303e-06	-0.566	0.566
   488	-3.78262e-06	-0.566	0.566
   489	-5.63132e-06	-0.566	0.566
   490	-2.62562e-06	-0.566	0.566
   491	-3.15077e-06	-0.566	0.566
   492	-3.75089e-06	-0.566	0.566
   493	-4.71021e-06	-0.566	0.566
   494	-2.60253e-06	-0.566	0.566
   495	-4.99307e-06	-0.566	0.566
   496	-1.82688e-06	-0.566	0.566
   497	-2.05608e-06	-0.566	0.566
   498	-4.60944e-06	-0.566	0.566
   499	-3.5554e-06	-0.566	0.566
   500	-4.0566e-06	-0.566	0.566
   501	-2.22776e-06	-0.566	0.566
   502	-4.23002e-06	-0.566	0.566
   503	-2.74838e-06	-0.566	0.566
   504	-2.09053e-06	-0.566	0.566
   505	-4.4963e-06	-0.566	0.566
   506	-3.23688e-06	-0.566	0.566
   507	-4.59053e-06	-0.566	0.566
   508	-4.90808e-06	-0.566	0.566
   509	-4.27933e-06	-0.566	0.566
   510	-3.87192e-06	-0.566	0.566
   511	-2.98223e-06	-0.566	0.566
   512	-4.17571e-06	-0.566	0.566
   513	-3.73233e-06	-0.566	0.566
   514	-4.55354e-06	-0.566	0.566
   515	-2.56322e-06	-0.566	0.566
   516	-3.41911e-06	-0.566	0.566
   517	-3.56029e-06	-0.566	0.566
   518	-2.81103e-06	-0.566	0.566
   519	-5.26758e-06	-0.566	0.566
   520	-2.26427e-06	-0.566	0.566
   521	-3.4593e-06	-0.566	0.566
   522	-4.69906e-06	-0.566	0.566
   523	-3.83174e-06	-0.566	0.566
   524	-5.93295e-06	-0.566	0.566
   525	-5.16764e-06	-0.566	0.566
   526	-2.49671e-06	-0.566	0.566
   527	-5.96694e-06	-0.566	0.566
   528	-2.88809e-06	-0.566	0.566
   529	-5.21213e-06	-0.566	0.566
   530	-5.74007e-06	-0.566	0.566
   531	-5.42368e-06	-0.566	0.566
   532	-2.81821e-06	-0.566	0.566
   533	-3.01952e-06	-0.566	0.566
   534	-3.06084e-06	-0.566	0.566
   535	-3.026e-06	-0.566	0.566
   536	-4.22427e-06	-0.566	0.566
   537	-4.19956e-06	-0.566	0.566
   538	-3.59276e-06	-0.566	0.566
   539	-4.99433e-06	-0.566	0.566
   540	-4.15269e-06	-0.566	0.566
   541	-1.82058e-06	-0.566	0.566
   542	-4.44016e-06	-0.566	0.566
   543	-4.15557e-06	-0.566	0.566
   544	-3.24783e-06	-0.566	0.566
   545	-3.40003e-06	-0.566	0.566
   546	-4.57943e-06	-0.566	0.566
   547	-2.90777e-06	-0.566	0.566
   548	-3.7936e-06	-0.566	0.566
   549	-4.67262e-06	-0.566	0.566
   550	-2.71914e-06	-0.566	0.566
   551	-2.96257e-06	-0.566	0.566
   552	-4.76747e-06	-0.566	0.566
   553	-3.51918e-06	-0.566	0.566
   554	-3.48098e-06	-0.566	0.566
   555	-2.85766e-06	-0.566	0.566
   556	-3.59827e-06	-0.566	0.566
   557	-2.78473e-06	-0.566	0.566
   558	-3.74119e-06	-0.566	0.566
   559	-3.21059e-06	-0.566	0.566
   560	-2.85358e-06	-0.566	0.566
   561	-2.31025e-06	-0.566	0.566
   562	-4.69123e-06	-0.566	0.566
   563	-3.18318e-06	-0.566	0.566
   564	-3.12314e-06	-0.566	0.566
   565	-4.00372e-06	-0.566	0.566
   566	-2.37096e-06	-0.566	0.566
   567	-2.37662e-06	-0.566	0.566
   568	-2.8582e-06	-0.566	0.566
   569	-2.01725e-06	-0.566	0.566
   570	-3.77405e-06	-0.566	0.566
   571	-4.36224e-06	-0.566	0.566
   572	-3.26748e-06	-0.566	0.566
   573	-3.94647e-06	-0.566	0.566
   574	-4.74244e-06	-0.566	0.566
   575	-5.77722e-06	-0.566	0.566
   576	-6.30495e-06	-0.566	0.566
   577	-3.96841e-06	-0.566	0.566
   578	-4.13317e-06	-0.566	0.566
   579	-1.6923e-06	-0.566	0.566
   580	-2.70169e-06	-0.566	0.566
   581	-2.74871e-06	-0.566	0.566
   582	-3.93283e-06	-0.566	0.566
   583	-4.57508e-06	-0.566	0.566
   584	-3.53513e-06	-0.566	0.566
   585	-2.82108e-06	-0.566	0.566
   586	-3.58001e-06	-0.566	0.566
   587	-2.07451e-06	-0.566	0.566
   588	-2.86055e-06	-0.566	0.566
   589	-3.89443e-06	-0.566	0.566
   590	-3.43602e-06	-0.566	0.566
   591	-4.34223e-06	-0.566	0.566
   592	-2.00181e-06	-0.566	0.566
   593	-5.09022e-06	-0.566	0.566
   594	-2.63234e-06	-0.566	0.566
   595	-3.08154e-06	-0.566	0.566
   596	-3.56869e-06	-0.566	0.566
   597	-5.3953e-06	-0.566	0.566
   598	-3.76675e-06	-0.566	0.566
   599	-4.6144e-06	-0.566	0.566
   600	-2.08205e-06	-0.566	0.566
   601	-2.8712e-06	-0.566	0.566
   602	-4.22678e-06	-0.566	0.566
